id_departement;libelle_de_commune;Latitude;Longitude
77;Les Ormes-sur-Voulzie;48,45957887;3,225032141
91;Dannemois;48,45972881;2,464508284
78;Paray-Douaville;48,45996633;1,8629167
77;Cély;48,45998756;2,525313262
77;Everly;48,4602932;3,263842263
77;Luisetaines;48,46106815;3,185632578
91;Brières-les-Scellés;48,46367691;2,142900972
77;Échouboulains;48,46371996;2,929599308
91;Guigneville-sur-Essonne;48,46385897;2,371038303
77;Féricy;48,46518587;2,803483307
91;Villeneuve-sur-Auvers;48,46711916;2,254150102
78;Allainville;48,46780494;1,902486562
91;Videlles;48,46836641;2,42068572
91;Richarville;48,46855029;1,998426101
77;Pamfou;48,46861375;2,864156452
91;Chatignonville;48,46875998;1,932528746
77;Chailly-en-Bière;48,46976617;2,611648754
91;Boissy-le-Cutté;48,4702886;2,285181607
77;Coutençon;48,47294149;2,997283625
77;Sigy;48,47306126;3,163639627
77;Saint-Germain-sur-École;48,47430725;2,510781898
91;La Forêt-le-Roi;48,47551833;2,046851528
77;Bois-le-Roi;48,4760362;2,701595291
77;Gouaix;48,47604429;3,296813546
91;Auvers-Saint-Georges;48,47737217;2,226001475
77;Donnemarie-Dontilly;48,47784291;3,118257357
78;Orsonville;48,47790868;1,826836656
91;Soisy-sur-École;48,47866671;2,482221539
77;Perthes;48,47973061;2,55038052
91;La Ferté-Alais;48,48122195;2,367349785
77;Paroy;48,48128613;3,201645654
77;Fontaine-le-Port;48,4842449;2,767063542
77;Gurcy-le-Châtel;48,4844716;3,080906294
91;Boissy-le-Sec;48,48467119;2,091432109
91;Cerny;48,48597985;2,310682839
77;Hermé;48,48609632;3,345994631
77;Chalmaison;48,49016412;3,256436756
91;Mondeville;48,49120356;2,420454066
77;Mons-en-Montois;48,49123126;3,139570418
77;Thénisy;48,49169456;3,177993189
91;Étréchy;48,49248324;2,179288481
77;Jutigny;48,49400826;3,226669996
77;Chartrettes;48,49426661;2,713621816
77;Villeneuve-les-Bordes;48,49474574;3,030857461
91;Corbreuse;48,49476571;1,960310712
91;Baulne;48,49496877;2,381408841
77;Villiers-en-Bière;48,49542208;2,600341789
77;Les Écrennes;48,49567469;2,875528602
78;Boinville-le-Gaillard;48,49580306;1,871151024
91;Les Granges-le-Roi;48,49810664;2,010597784
77;Saint-Sauveur-sur-École;48,49970724;2,534118762
91;Janville-sur-Juine;48,50111348;2,253857561
77;Le Châtelet-en-Brie;48,50160687;2,80339102
91;Villeconin;48,50191826;2,128130431
77;Melz-sur-Seine;48,50408922;3,396941812
91;Nainville-les-Roches;48,50472969;2,495552316
77;Livry-sur-Seine;48,50510163;2,686478213
77;La Chapelle-Rablais;48,50591766;2,960755614
91;Champcueil;48,50676937;2,448155296
77;La Rochette;48,50684602;2,659559419
77;Cessoy-en-Montois;48,5073073;3,138844194
91;Chauffour-lès-Étréchy;48,50786196;2,168438223
77;Soisy-Bouy;48,50848665;3,299876049
77;Savins;48,51159125;3,205183441
77;Boissise-le-Roi;48,51197791;2,569919095
91;Bouray-sur-Juine;48,51230201;2,296103422
77;Meigneux;48,51378535;3,096905028
77;Dammarie-les-Lys;48,51383387;2,628543743
77;Longueville;48,51449156;3,23853264
91;Itteville;48,51452414;2,344315796
78;Saint-Martin-de-Bréthencourt;48,51485922;1,915681718
91;Chamarande;48,51677397;2,218000829
91;Roinville;48,51706983;2,053331445
77;Pringy;48,51766003;2,55002787
77;Sognolles-en-Montois;48,51881483;3,152203269
77;Fontains;48,52176336;3,006870606
91;Ballancourt-sur-Essonne;48,52189975;2,387880251
77;Boissettes;48,52349303;2,614635862
77;Vaux-le-Pénil;48,52458711;2,697271544
78;Prunay-en-Yvelines;48,52676272;1,805139728
91;Souzy-la-Briche;48,52691616;2,154320823
91;Lardy;48,52703541;2,270177128
91;Mauchamps;48,52726809;2,19718165
77;Chalautre-la-Petite;48,52731739;3,315274965
77;Lizines;48,52807181;3,165328741
78;Ablis;48,52832577;1,850964994
91;Auvernaux;48,52911815;2,487915511
77;La Chapelle-Gauthier;48,53067447;2,862867878
77;Sivry-Courtry;48,53088752;2,756150071
91;Sermaise;48,53109307;2,08893971
91;Torfou;48,53204943;2,234472046
77;Fontenailles;48,53244834;2,927308895
91;Chevannes;48,53353558;2,440626285
77;Boissise-la-Bertrand;48,53390845;2,589507558
77;Sainte-Colombe;48,53435554;3,259190712
78;Sainte-Mesme;48,53568624;1,940577193
91;Dourdan;48,53593515;1,994301568
91;Saint-Sulpice-de-Favières;48,53636089;2,179692763
77;Sourdun;48,5369434;3,362878754
77;Saint-Loup-de-Naud;48,53697904;3,217901686
91;Saint-Vrain;48,53732105;2,322890784
77;Châtillon-la-Borde;48,53774236;2,826851813
77;Saint-Fargeau-Ponthierry;48,53909147;2,524997107
77;Le Mée-sur-Seine;48,53945885;2,629024827
77;Rampillon;48,54104343;3,072880993
77;Melun;48,54447236;2,657958219
77;Poigny;48,54492833;3,27716741
91;Cheptainville;48,54658417;2,274162184
91;Fontenay-le-Vicomte;48,54683861;2,400680411
