;;;;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE;PROXIMITE;ELECTRONIQUE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE
id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
77;Chartronges;1995;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Châteaubleau;1995;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Château-Landon;1995;3112;0;1;0;1;0;3;3;0;0;1;1;0;0;1;0;2;0;0;1;0;1;0;1
77;Châtenay-sur-Seine;1995;933;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
77;Châtenoy;1995;149;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Châtillon-la-Borde;1995;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Châtres;1995;579;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chauconin-Neufmontiers;1995;2720;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
77;Chauffry;1995;992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
77;Chaumes-en-Brie;1995;3046;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0
77;Chelles;1995;52779;2;6;3;6;16;27;16;2;1;6;33;5;7;9;7;6;1;6;6;7;16;12;7
77;Chenoise;1995;1290;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chenou;1995;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chessy;1995;4298;0;0;0;0;1;2;1;0;0;4;0;0;0;0;0;1;0;0;0;0;1;0;0
77;Chevrainvilliers;1995;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chevru;1995;1088;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chevry-Cossigny;1995;3706;0;1;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
77;Chevry-en-Sereine;1995;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Choisy-en-Brie;1995;1347;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Citry;1995;797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Claye-Souilly;1995;11026;1;4;1;1;1;8;6;1;0;4;28;9;8;4;9;4;5;2;2;7;5;7;3
77;Clos-Fontaine;1995;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Cocherel;1995;592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Collégien;1995;3145;1;0;1;0;1;3;0;0;0;2;37;1;5;1;0;1;0;0;5;8;3;5;1
77;Combs-la-Ville;1995;21554;0;5;0;0;2;8;2;1;1;3;2;0;4;1;0;1;0;0;1;0;4;3;1
77;Compans;1995;711;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
77;Conches-sur-Gondoire;1995;1740;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
77;Condé-Sainte-Libiaire;1995;1409;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Congis-sur-Thérouanne;1995;1759;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Coubert;1995;1821;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
77;Couilly-Pont-aux-Dames;1995;2132;0;0;0;0;1;2;1;0;0;1;4;1;2;1;0;1;0;1;0;1;0;0;0
77;Coulombs-en-Valois;1995;611;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Coulommes;1995;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
77;Coulommiers;1995;14544;1;4;2;2;3;13;6;1;1;8;44;7;7;8;10;6;1;3;6;2;9;8;4
77;Coupvray;1995;2705;1;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
77;Courcelles-en-Bassée;1995;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Courchamp;1995;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
77;Courpalay;1995;1402;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
77;Courquetaine;1995;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Courtacon;1995;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
77;Courtomer;1995;542;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Courtry;1995;6156;0;0;0;0;4;2;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0
77;Coutençon;1995;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Coutevroult;1995;974;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
77;Crécy-la-Chapelle;1995;4225;1;0;1;2;1;3;2;0;0;1;2;0;1;0;2;2;0;1;0;2;2;2;2
77;Crégy-lès-Meaux;1995;4292;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
77;Crèvecoeur-en-Brie;1995;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Crisenoy;1995;628;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
